account,destination,asset,amount,transaction_hash
GCL4UIXVUCTCCEQ5TA3EBDX4TLQVM6A4EJBFZLRCWWIRNTEOOGNF4DPI,GCL4UIXVUCTCCEQ5TA3EBDX4TLQVM6A4EJBFZLRCWWIRNTEOOGNF4DPI,XLM,4514.2116390,a3d095cdc38bdc89bfb371d3d01f35a33087f09fd7b94e699818a1d41c82e402
GCA5FO3FLUVS2MOPVECPVQ6V3J5YSSQBL2ANPDYHIHRBSPPX5TLIMSX6,GCA5FO3FLUVS2MOPVECPVQ6V3J5YSSQBL2ANPDYHIHRBSPPX5TLIMSX6,XLM,4199.0026993,3000af6f0ee9880746e4f9ecf440321e0c87af9a13ba6413072e960784ac58cf
GCC3DIKMODNJMHSWEMPDZNF3BO55GK4SSWPRSOQCQHRE5R53FCQYTMBY,GCC3DIKMODNJMHSWEMPDZNF3BO55GK4SSWPRSOQCQHRE5R53FCQYTMBY,XLM,3936.6481671,fc38b5464405ea0b6a6e7d179de534d2e051c0fd588e62cea92c8575e1b3e5db
GDNYBXVABRLE6MEGBCXV7WUQYXWLBDVBGXNLZUDOFW2L46C5YL5ZA6V5,GDNYBXVABRLE6MEGBCXV7WUQYXWLBDVBGXNLZUDOFW2L46C5YL5ZA6V5,XLM,3529.5222878,22c6c8ccb6ee634e88f784ff5632f26a9afb5e52e71136da5acd613931aff2c6
GDEO5NUDIUGNDS5FDB2DUNZSAB4OD6JXMJM4NVJPIRDKOXU6O76WRC3H,GDEO5NUDIUGNDS5FDB2DUNZSAB4OD6JXMJM4NVJPIRDKOXU6O76WRC3H,XLM,2625.3119774,3768094941d5f5e7e40bda32e62dfcc1ea941fa2952ab035b186862ab010c3a6
GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,XLM,2624.5660599,dd622f899243d8930005cc0582286a1bd301a68c737df3b9334447c243588ad3
GAXPLFYO5ARCI3QXJAMZ6V4EPOQR2ITT6KUM574D6MG4PAW6SABSJEA4,GAXPLFYO5ARCI3QXJAMZ6V4EPOQR2ITT6KUM574D6MG4PAW6SABSJEA4,XLM,2621.6490199,17482158387085c00cca0c8b9cdf7ec34abde0ddf725ef0703115c5afe1f1332
GDS2VNGAVIBD2YZJSKKLBMRDFBY37C67ZXIEPA5KH42VUBMVATEMMNGD,GDS2VNGAVIBD2YZJSKKLBMRDFBY37C67ZXIEPA5KH42VUBMVATEMMNGD,XLM,2568.1878105,86ad041b6b808e35bb75c9f71429dd602bab144f70e04d06ce7a0352c1d5a58b
GDZHV65XN3ABHOMF7QCWIQVUH5SNWZAB6EIRMFNJAN4PW7UJ6TEIZQ2A,GDZHV65XN3ABHOMF7QCWIQVUH5SNWZAB6EIRMFNJAN4PW7UJ6TEIZQ2A,XLM,2172.6926911,b0cb65aaf0dbfa3214e3ae5fcb012e1d8ea296b8ad36422ded4a010c006261d8
GDHVGOZF6WT7CDM5EREDZ7R5CBTQRFQMFSJPMAOWMANIVXXDF3ENNIMR,GDHVGOZF6WT7CDM5EREDZ7R5CBTQRFQMFSJPMAOWMANIVXXDF3ENNIMR,XLM,2099.5548035,59e527f878314ba49224f2a412718bb9612fb6d3ac7fea742c5f52b1d5caa63d
GAEVKTD2CL3MPPQBUSYJERWWRVPGFGBLXNFQXDVOD2YEILOP6OPJXDNV,GAEVKTD2CL3MPPQBUSYJERWWRVPGFGBLXNFQXDVOD2YEILOP6OPJXDNV,XLM,2099.4294985,2daaa49c7dd13e8006a949402daec3dd0e28880eb3377e913026b2d9c0d10a60
GAAQMA67NFYT5B3VZEIL33HILG7B7BI5SOBVQHQKADXSZEKSRMYXB67R,GAAQMA67NFYT5B3VZEIL33HILG7B7BI5SOBVQHQKADXSZEKSRMYXB67R,XLM,1607.7389547,f0f777188db37d8f7d1554ecb0b84d6156bdc11341605dbd6ff10479d84c3f4d
GAMQOQEHWSGOIMEDI3INTL7HMWKB6TBUJAI5GFEAOP44MM4U5IOD7AWK,GAMQOQEHWSGOIMEDI3INTL7HMWKB6TBUJAI5GFEAOP44MM4U5IOD7AWK,XLM,1585.4699702,5d5d7389e0075d6a10c697ca90178a3a7854003a5ce7dbfac444b2561fced783
GDO6U6PAX4665TIXLIL7EL445RZV6RZ7C5GVOPGNYUVIV54ICDXY2MOA,GDO6U6PAX4665TIXLIL7EL445RZV6RZ7C5GVOPGNYUVIV54ICDXY2MOA,XLM,1574.6135157,d775300c6d878303c72a83e39654df61965948ee7c12871553678b340b259f1f
GDWVCBP4YIM43QE2VBVIEI666B4KBUZ6I7NNOENMXDF54EY36ID5OO6D,GDWVCBP4YIM43QE2VBVIEI666B4KBUZ6I7NNOENMXDF54EY36ID5OO6D,XLM,1325.3022083,fdab8de2f164906d36d8a1c4a2fbfca37297d2791fb3201d8a57ff02b038b1a2
GB4W25OSQQ5WXFFNS3G56SZSZXKS3R7FHAXT4WKAHNSVB7BS3SJUNJWA,GB4W25OSQQ5WXFFNS3G56SZSZXKS3R7FHAXT4WKAHNSVB7BS3SJUNJWA,XLM,797.7743423,9151dd163995b5a1199627cbd39d88acf481a41f0804b6b334d443d821b4d002
GBY2Q24LMOU5ZOPVW76SRTENO6ZZ6MUVUM4AIOGKJFIWIY65HVZFRPHI,GBY2Q24LMOU5ZOPVW76SRTENO6ZZ6MUVUM4AIOGKJFIWIY65HVZFRPHI,XLM,779.7258350,2c91bdba177dabc8d16d7b5324618f02d5694fd54e1fb7a7fa8093f213d5f5e2
GBPJ2YBLYTXH2VLSEHFAYAOVEFGA62PTLPYKIMTJXV4KPU4WN2ICCOR4,GBPJ2YBLYTXH2VLSEHFAYAOVEFGA62PTLPYKIMTJXV4KPU4WN2ICCOR4,XLM,682.2929666,f4e8260915a4d6270aba6f3759a349c8d5e4fcc3afde20cf16d76f6c75a0c281
GBNZXBH7SWFPU7WW2D3WGMWZHSH2L3G5XFQO3FTLU5ZIYINOOAI2EQVI,GBNZXBH7SWFPU7WW2D3WGMWZHSH2L3G5XFQO3FTLU5ZIYINOOAI2EQVI,XLM,629.9038766,07ea7888ec3c9fd2b7c9b0c2ee1c69399f76756ec3782832e8232779ce490ee4
GBE4FY6RLT4KYM35MR47ZXATCG67ONZ7VKESEMHFPF2QF3VVHV2QM6L2,GBE4FY6RLT4KYM35MR47ZXATCG67ONZ7VKESEMHFPF2QF3VVHV2QM6L2,XLM,608.7834077,193cc3d6bba59244d6cf864c7fc823ae4292cb46e811d3538bab0076aef17bd6
GAYKKYTEHCRRLXLYQXDPTLWG2UEPUNR6WVHJTUGTWZ7MNMJ3U35SFDXU,GAYKKYTEHCRRLXLYQXDPTLWG2UEPUNR6WVHJTUGTWZ7MNMJ3U35SFDXU,XLM,577.3911575,2ab7f56b2fd08775b879db898c9a863ac3b5c3ace90aeb344fc3125cee1e436c
GBOYKBTFCAVPWRKCHPRWRCDTTFLEWHYWI56X5F56J4F6RWJ6KLR4M5ZG,GBOYKBTFCAVPWRKCHPRWRCDTTFLEWHYWI56X5F56J4F6RWJ6KLR4M5ZG,XLM,577.3462834,e26521fdda7eb2bb3e243338fe359df72d4f54d16a9a8e79a45698793e1dc3af
