account,destination,asset,amount,transaction_hash
GD77BATZZOIXN2V3GBHS7747G6EC42DNMTJ2IUMKX2RVWQW3DG3DGPQQ,GD77BATZZOIXN2V3GBHS7747G6EC42DNMTJ2IUMKX2RVWQW3DG3DGPQQ,USDC,3510.7876877,6f68d6fa3067bbfacfddbcb317fd912196b2075b650ab810ef911a4e6b6aa2b1
GD2KBXIKQPG2NKZOWPOWIGPC2YELQAEINW4CAMHEDGTKKL7BQG2K27SQ,GD2KBXIKQPG2NKZOWPOWIGPC2YELQAEINW4CAMHEDGTKKL7BQG2K27SQ,USDC,3505.0623441,d48c9fe8f723e8cf642bcfac594030c8d7750b64f869299beb336b8514265a18
GB7KNZZRQFRHY3FMT5F3EHPUNBTXBATZPBOZOYJZ3RJWT7EFLRSHOBV6,GB7KNZZRQFRHY3FMT5F3EHPUNBTXBATZPBOZOYJZ3RJWT7EFLRSHOBV6,USDC,3495.2014821,bdab9b26547258088b50096a3246b75ad4edda4d93be9f7fb70a1f1e0b4f239c
GDF76HL3YX3LTXCFQHSPJTMVWQRQDTVQNMCVQSRUQXYBQ55WU3J32W65,GDF76HL3YX3LTXCFQHSPJTMVWQRQDTVQNMCVQSRUQXYBQ55WU3J32W65,USDC,3265.2153764,e172a257a7ea5ec8a7f313a1cd3e5858d3b204b48af189a9abe9d1437e82c059
GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,USDC,3243.3474714,4171ec22ad36375f933d435674e4b5c952a39e100d81a06e816e7967e0365027
GCNECWN5VZLRDQLMRXMK6UPPWAYQVDGKRF6GEMUNJBB7OB4DD47LUFSO,GCNECWN5VZLRDQLMRXMK6UPPWAYQVDGKRF6GEMUNJBB7OB4DD47LUFSO,USDC,3173.0267859,4205abf57042854c03289e43030489b20ebd4051ce3aa131d91eb73e7b2d5e50
GCB2NJ22PJVDRQ4WNGYD2TC2LITRULHGLG5TG6NWBIPQO64JE7OS465W,GCB2NJ22PJVDRQ4WNGYD2TC2LITRULHGLG5TG6NWBIPQO64JE7OS465W,USDC,3123.0059359,02a8deb885e813f634c2be1987eaeeb9b14a394d242afbd800fa44f1b8646292
GCYVR6JS6DLRAFF2HEC6LN7J6H6JS2VMERCTGV64RESTZAJMOHB5RHU7,GCYVR6JS6DLRAFF2HEC6LN7J6H6JS2VMERCTGV64RESTZAJMOHB5RHU7,USDC,3103.3389930,99d348d97e81ae71b3d8571aee69c7ea688f3cba62b186cba3d6d991d851c0d8
GDW4ZDNWSLMKWKSHBTHKCURKMNFEWKNE2KYJ3XSNDMCC4UTNLJKRA5ZJ,GDW4ZDNWSLMKWKSHBTHKCURKMNFEWKNE2KYJ3XSNDMCC4UTNLJKRA5ZJ,USDC,2961.4768607,0fe326ec1e1ff0073f84375b883383ec15cc027a4ecc0929809b1c9aaaa6776d
GAEBP4VL2XZTJ46IBYTZ5TTWDYAEEXMPNB45W6GGEUSIYWDFGWM3IHTQ,GAEBP4VL2XZTJ46IBYTZ5TTWDYAEEXMPNB45W6GGEUSIYWDFGWM3IHTQ,USDC,2952.3401655,f59e26587e46f85d4dd39eb08ec5b190278721f7a69231c5f51dd69eaa62e028
GAZXV3PHJ342NLK2UJYAK2VU6DYZGMN5TF2JEEQXEW4MOB6DYDCZLAPL,GAZXV3PHJ342NLK2UJYAK2VU6DYZGMN5TF2JEEQXEW4MOB6DYDCZLAPL,USDC,2945.3975998,1f671b95e6108fd52f2b5feed6eb8382052b8f0ea5558d5012fc263b47a21388
GCCGWAXYMKRD4X2MC4L3XEXFTGBBJCLI3CIQ6OHCY7LJLG23DPLALEOQ,GCCGWAXYMKRD4X2MC4L3XEXFTGBBJCLI3CIQ6OHCY7LJLG23DPLALEOQ,USDC,2884.3740501,45fa0b4d5783f36513aac2f43f27ced30dd97dd54d7f58b7050b830cdabba5ef
GB5LDZEGFX2OD2XWYSVYMN7H3P475GTXDN4PROZKYUS4B5QCTXAFHACK,GB5LDZEGFX2OD2XWYSVYMN7H3P475GTXDN4PROZKYUS4B5QCTXAFHACK,USDC,2839.4911974,8c462e278387835fa394ba7f79befe2c6a47914e6ca072c09957c4fc75a04f1a
GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,USDC,2742.8565469,91370f68ef93d3f5a94f915f4abeae1dcf345c8adf3be4e8445d9f67e0c6fbf2
GABNGXVFO5LPSDJRT4NDBLS25H6TUJXPMWD5MP3GSOZ7S22SA7JWF7KX,GABNGXVFO5LPSDJRT4NDBLS25H6TUJXPMWD5MP3GSOZ7S22SA7JWF7KX,USDC,2662.2131189,269b9164bd18fdf1dd2841c5326ecfebf20c493054355ba9f7bb5e79e90f30ab
GBTCIFMWQ63FIYT7D6Z7FT77IFWEPOXNHCIWLQIZI2K5O4NKCLMY6XH7,GBTCIFMWQ63FIYT7D6Z7FT77IFWEPOXNHCIWLQIZI2K5O4NKCLMY6XH7,USDC,2647.8898664,5c2cd12fd33b31ceef583e011e27657daaa4b76f65c2b3e151d422e3cbd2bf2c
